Price,Open,High,Low,Close
Ticker,ZS=F,ZS=F,ZS=F,ZS=F
Date,,,,
2015-07-06 00:00:00+00:00,1037.0,1042.5,1026.25,1033.75
2015-07-07 00:00:00+00:00,1029.0,1033.75,1001.0,1002.0
2015-07-08 00:00:00+00:00,1008.25,1016.0,999.0,1006.25
2015-07-09 00:00:00+00:00,1008.75,1042.25,1008.75,1037.75
2015-07-10 00:00:00+00:00,1037.25,1059.0,1035.0,1043.5
2015-07-13 00:00:00+00:00,1044.5,1051.5,1034.75,1045.25
2015-07-14 00:00:00+00:00,1052.5,1060.0,1039.0,1039.0
2015-07-15 00:00:00+00:00,1030.0,1035.0,1014.25,1025.0
2015-07-16 00:00:00+00:00,1027.25,1038.25,1015.25,1019.0
2015-07-17 00:00:00+00:00,1016.5,1021.25,1007.5,1014.75
2015-07-20 00:00:00+00:00,1012.0,1012.75,998.25,1007.75
2015-07-21 00:00:00+00:00,1011.0,1020.0,1008.25,1018.75
2015-07-22 00:00:00+00:00,1018.75,1027.5,1011.5,1020.75
2015-07-23 00:00:00+00:00,1021.25,1029.0,1004.25,1010.0
2015-07-24 00:00:00+00:00,1010.5,1011.25,988.75,991.25
2015-07-27 00:00:00+00:00,988.0,988.25,959.75,961.25
2015-07-28 00:00:00+00:00,963.0,976.75,962.75,974.75
2015-07-29 00:00:00+00:00,976.75,988.75,971.75,983.0
2015-07-30 00:00:00+00:00,982.0,1002.25,982.0,990.25
2015-07-31 00:00:00+00:00,993.0,995.25,979.0,980.75
2015-08-03 00:00:00+00:00,978.0,983.75,971.5,977.5
2015-08-04 00:00:00+00:00,977.5,986.5,971.0,976.0
2015-08-05 00:00:00+00:00,974.5,992.25,974.5,991.75
2015-08-06 00:00:00+00:00,991.0,992.0,983.75,985.5
2015-08-07 00:00:00+00:00,982.0,1010.25,982.0,1009.0
2015-08-10 00:00:00+00:00,1010.5,1045.75,1010.5,1044.75
2015-08-11 00:00:00+00:00,1039.0,1039.5,1013.0,1014.0
2015-08-12 00:00:00+00:00,1018.75,1018.75,950.0,951.0
2015-08-13 00:00:00+00:00,953.0,995.0,953.0,993.0
2015-08-14 00:00:00+00:00,991.25,991.25,965.0,978.5
2015-08-17 00:00:00+00:00,920.0,933.5,919.25,927.0
2015-08-18 00:00:00+00:00,925.25,929.25,912.25,913.25
2015-08-19 00:00:00+00:00,913.0,917.25,899.75,903.5
2015-08-20 00:00:00+00:00,904.75,923.0,898.25,921.5
2015-08-21 00:00:00+00:00,920.0,921.0,903.75,905.25
2015-08-24 00:00:00+00:00,899.5,906.25,874.0,892.75
2015-08-25 00:00:00+00:00,893.0,908.0,888.0,894.25
2015-08-26 00:00:00+00:00,893.25,898.5,877.0,877.75
2015-08-27 00:00:00+00:00,879.5,894.25,879.5,886.25
2015-08-28 00:00:00+00:00,887.25,895.75,884.0,893.25
2015-08-31 00:00:00+00:00,894.25,898.0,880.75,897.5
2015-09-01 00:00:00+00:00,891.75,894.75,878.75,884.75
2015-09-02 00:00:00+00:00,882.5,888.5,874.25,883.75
2015-09-03 00:00:00+00:00,883.75,891.25,878.5,879.75
2015-09-04 00:00:00+00:00,879.75,885.5,877.0,877.25
2015-09-08 00:00:00+00:00,884.0,895.0,882.25,890.75
2015-09-09 00:00:00+00:00,888.25,894.0,882.5,882.75
2015-09-10 00:00:00+00:00,882.75,888.0,882.75,884.5
2015-09-11 00:00:00+00:00,886.0,888.75,866.0,887.75
2015-09-14 00:00:00+00:00,887.25,898.0,882.75,882.75
2015-09-15 00:00:00+00:00,886.5,894.5,883.0,889.0
2015-09-16 00:00:00+00:00,889.0,894.5,883.25,887.25
2015-09-17 00:00:00+00:00,886.75,890.5,880.5,884.5
2015-09-18 00:00:00+00:00,883.75,886.5,866.5,867.25
2015-09-21 00:00:00+00:00,868.0,877.25,865.0,874.25
2015-09-22 00:00:00+00:00,871.25,873.5,861.0,861.75
2015-09-23 00:00:00+00:00,861.25,869.5,861.0,863.75
2015-09-24 00:00:00+00:00,863.0,869.25,858.0,868.0
2015-09-25 00:00:00+00:00,869.0,890.0,869.0,889.25
2015-09-28 00:00:00+00:00,888.0,892.0,875.75,876.75
2015-09-29 00:00:00+00:00,876.25,884.75,873.5,884.25
2015-09-30 00:00:00+00:00,883.5,902.25,881.25,892.0
2015-10-01 00:00:00+00:00,891.5,899.25,876.75,877.25
2015-10-02 00:00:00+00:00,877.0,882.0,868.25,874.25
2015-10-05 00:00:00+00:00,874.0,886.0,872.0,884.25
2015-10-06 00:00:00+00:00,879.25,895.5,879.25,888.0
2015-10-07 00:00:00+00:00,887.25,896.0,885.75,891.0
2015-10-08 00:00:00+00:00,890.0,891.75,880.0,881.25
2015-10-09 00:00:00+00:00,880.5,897.0,871.5,885.75
2015-10-12 00:00:00+00:00,885.5,894.5,885.5,887.5
2015-10-13 00:00:00+00:00,886.25,915.0,886.0,914.0
2015-10-14 00:00:00+00:00,912.0,919.75,909.0,910.5
2015-10-15 00:00:00+00:00,909.0,915.75,904.0,905.25
2015-10-16 00:00:00+00:00,904.25,910.5,897.25,898.25
2015-10-19 00:00:00+00:00,897.5,900.5,890.75,891.0
2015-10-20 00:00:00+00:00,890.25,901.75,889.5,896.0
2015-10-21 00:00:00+00:00,896.0,907.0,894.5,905.25
2015-10-22 00:00:00+00:00,905.0,913.0,897.5,898.75
2015-10-23 00:00:00+00:00,898.75,901.0,892.0,895.5
2015-10-26 00:00:00+00:00,895.0,899.5,884.0,885.0
2015-10-27 00:00:00+00:00,885.75,895.25,882.0,891.25
2015-10-28 00:00:00+00:00,890.5,891.0,881.0,881.5
2015-10-29 00:00:00+00:00,881.0,885.0,873.25,878.75
2015-10-30 00:00:00+00:00,877.0,886.75,876.75,883.75
2015-11-02 00:00:00+00:00,883.75,889.25,877.25,877.75
2015-11-03 00:00:00+00:00,878.5,887.5,875.0,878.5
2015-11-04 00:00:00+00:00,878.5,886.25,878.5,882.0
2015-11-05 00:00:00+00:00,882.5,882.5,867.25,867.75
2015-11-06 00:00:00+00:00,868.0,873.0,863.25,871.25
2015-11-09 00:00:00+00:00,872.0,877.25,871.25,873.5
2015-11-10 00:00:00+00:00,875.0,875.25,859.25,864.5
