Price,Open,High,Low,Close
Ticker,ZO=F,ZO=F,ZO=F,ZO=F
Date,,,,
2014-12-26 00:00:00+00:00,307.75,309.5,305.0,306.0
2014-12-29 00:00:00+00:00,305.0,308.75,302.25,303.25
2014-12-30 00:00:00+00:00,302.25,308.5,302.25,305.0
2014-12-31 00:00:00+00:00,306.5,308.75,302.5,303.75
2015-01-02 00:00:00+00:00,304.0,307.25,302.0,302.25
2015-01-05 00:00:00+00:00,303.0,306.75,302.0,306.0
2015-01-06 00:00:00+00:00,305.25,306.5,302.25,304.5
2015-01-07 00:00:00+00:00,304.0,304.25,300.75,301.75
2015-01-08 00:00:00+00:00,302.25,302.25,301.0,302.25
2015-01-09 00:00:00+00:00,301.75,306.0,301.0,303.25
2015-01-12 00:00:00+00:00,303.75,303.75,291.5,298.25
2015-01-13 00:00:00+00:00,299.75,300.0,292.5,293.25
2015-01-14 00:00:00+00:00,293.25,293.5,278.5,282.75
2015-01-15 00:00:00+00:00,284.75,286.0,280.0,281.75
2015-01-16 00:00:00+00:00,282.0,289.75,282.0,288.75
2015-01-20 00:00:00+00:00,290.5,291.75,286.0,290.25
2015-01-21 00:00:00+00:00,291.25,291.5,289.25,290.75
2015-01-22 00:00:00+00:00,291.75,296.0,290.0,291.0
2015-01-23 00:00:00+00:00,291.0,292.75,290.0,290.5
2015-01-26 00:00:00+00:00,290.75,292.25,286.5,290.75
2015-01-27 00:00:00+00:00,290.25,292.5,288.75,289.25
2015-01-28 00:00:00+00:00,290.0,292.0,287.0,287.5
2015-01-29 00:00:00+00:00,288.0,289.0,279.5,282.5
2015-01-30 00:00:00+00:00,281.75,284.0,266.5,275.5
2015-02-02 00:00:00+00:00,275.5,275.5,262.0,269.25
2015-02-03 00:00:00+00:00,270.0,281.0,266.25,280.0
2015-02-04 00:00:00+00:00,280.0,289.75,278.0,281.0
2015-02-05 00:00:00+00:00,281.75,289.0,281.0,287.75
2015-02-06 00:00:00+00:00,287.75,291.0,280.75,283.5
2015-02-09 00:00:00+00:00,283.0,284.5,277.5,279.5
2015-02-10 00:00:00+00:00,279.25,279.5,272.0,275.0
2015-02-11 00:00:00+00:00,275.0,278.0,271.5,273.5
2015-02-12 00:00:00+00:00,274.0,275.5,268.5,273.25
2015-02-13 00:00:00+00:00,274.0,278.75,273.5,278.5
2015-02-17 00:00:00+00:00,279.0,281.0,276.25,278.0
2015-02-18 00:00:00+00:00,278.5,279.0,272.25,274.25
2015-02-19 00:00:00+00:00,275.0,278.0,271.0,277.0
2015-02-20 00:00:00+00:00,278.0,280.0,273.0,273.5
2015-02-23 00:00:00+00:00,274.25,274.25,270.0,272.0
2015-02-24 00:00:00+00:00,272.75,276.0,272.0,274.5
2015-02-25 00:00:00+00:00,273.25,276.25,272.0,275.5
2015-02-26 00:00:00+00:00,274.75,285.5,274.25,281.5
2015-02-27 00:00:00+00:00,283.5,293.0,281.0,290.5
2015-03-02 00:00:00+00:00,293.25,293.5,289.75,289.75
2015-03-03 00:00:00+00:00,291.0,294.0,289.0,292.75
2015-03-04 00:00:00+00:00,294.0,294.0,292.75,292.75
2015-03-05 00:00:00+00:00,294.0,294.0,293.25,293.25
2015-03-06 00:00:00+00:00,298.0,299.5,295.25,295.25
2015-03-09 00:00:00+00:00,294.5,299.25,284.25,284.25
2015-03-10 00:00:00+00:00,287.75,288.75,287.75,288.75
2015-03-11 00:00:00+00:00,292.25,292.25,280.5,280.5
2015-03-12 00:00:00+00:00,279.75,279.75,279.75,279.75
2015-03-13 00:00:00+00:00,276.25,276.25,274.75,274.75
2015-03-16 00:00:00+00:00,276.5,278.0,273.75,278.0
2015-03-17 00:00:00+00:00,277.0,278.0,270.75,271.0
2015-03-18 00:00:00+00:00,270.0,274.25,270.0,273.25
2015-03-19 00:00:00+00:00,274.75,278.0,271.5,273.0
2015-03-20 00:00:00+00:00,274.25,280.75,271.25,279.0
2015-03-23 00:00:00+00:00,279.5,285.75,278.0,281.5
2015-03-24 00:00:00+00:00,281.5,285.25,279.5,282.0
2015-03-25 00:00:00+00:00,282.5,283.75,281.0,282.25
2015-03-26 00:00:00+00:00,283.0,283.5,273.5,277.75
2015-03-27 00:00:00+00:00,277.0,278.0,272.0,272.25
2015-03-30 00:00:00+00:00,272.0,276.0,268.0,269.75
2015-03-31 00:00:00+00:00,270.75,272.75,262.5,264.75
2015-04-01 00:00:00+00:00,264.75,265.5,254.25,262.0
2015-04-02 00:00:00+00:00,262.0,271.75,262.0,269.0
2015-04-06 00:00:00+00:00,269.75,272.0,266.25,269.0
2015-04-07 00:00:00+00:00,269.0,275.0,269.0,273.0
2015-04-08 00:00:00+00:00,273.25,274.75,269.0,270.0
2015-04-09 00:00:00+00:00,271.0,271.75,268.0,269.0
2015-04-10 00:00:00+00:00,267.75,268.75,262.0,266.5
2015-04-13 00:00:00+00:00,266.5,268.5,262.0,264.0
2015-04-14 00:00:00+00:00,264.5,266.75,262.0,263.75
2015-04-15 00:00:00+00:00,263.5,269.5,258.0,261.25
2015-04-16 00:00:00+00:00,259.5,262.0,256.75,258.0
